Month,day,precipitation(in)
1,1,0
1,2,0.12
1,3,0
1,4,0
1,5,T
1,6,T
1,7,0
1,8,0
1,9,0.02
1,10,0.2
1,11,0.33
1,12,0.05
1,13,0
1,14,0
1,15,0
1,16,0.9
1,17,0.48
1,18,T
1,19,0.46
1,20,0.18
1,21,T
1,22,0.01
1,23,0
1,24,T
1,25,0.09
1,26,T
1,27,T
1,28,T
1,29,T
1,30,0.01
1,31,0.03
2,2,0
2,3,0
2,4,0
2,5,0
2,6,T
2,7,0.47
2,8,0
2,9,0
2,10,0
2,11,0
2,12,T
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0.04
2,22,0
2,23,0.21
2,24,0.15
2,25,T
2,26,T
2,27,0
2,28,0.65
3,1,0.12
3,2,T
3,3,0
3,4,0.01
3,5,0
3,6,T
3,7,0.24
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0.05
3,13,0.12
3,14,0.19
3,15,0
3,16,0
3,17,0.03
3,18,0
3,19,0
3,20,0.13
3,21,0
3,22,0
3,23,0.02
3,24,T
3,25,0.71
3,26,0.3
3,27,T
3,28,0
3,29,0.11
3,30,1.84
3,31,0.02
4,1,0
4,2,T
4,3,0.19
4,4,0.02
4,5,1.04
4,6,0.29
4,7,0
4,8,0
4,9,0
4,10,0.32
4,11,T
4,12,0
4,13,0.19
4,14,0.06
4,15,0.09
4,16,0.59
4,17,0
4,18,0
4,19,0.01
4,20,T
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0.22
4,27,0.14
4,28,T
4,29,1.95
4,30,1.32
5,1,0.09
5,2,0.01
5,3,0
5,4,0
5,5,T
5,6,0.11
5,7,0
5,8,0.02
5,9,0.13
5,10,0.87
5,11,T
5,12,0
5,13,0
5,14,0
5,15,0.02
5,16,0
5,17,0.37
5,18,0
5,19,0.23
5,20,0.34
5,21,0.05
5,22,0.01
5,23,0.33
5,24,0.17
5,25,0
5,26,0.53
5,27,0
5,28,T
5,29,0
5,30,T
5,31,0
6,1,0
6,2,0
6,3,T
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0.06
6,9,T
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0.59
6,15,0.07
6,16,0.22
6,17,0.42
6,18,T
6,19,0.03
6,20,T
6,21,0
6,22,T
6,23,0.71
6,24,0.02
6,25,0
6,26,0
6,27,0
6,28,1.3
6,29,0.02
6,30,0
7,1,0
7,2,0
7,3,0.04
7,4,0
7,5,0
7,6,0
7,7,T
7,8,0
7,9,0
7,10,0.73
7,11,0.56
7,12,1.77
7,13,T
7,14,0
7,15,0
7,16,T
7,17,0
7,18,0
7,19,0.48
7,20,1.77
7,21,1.43
7,22,0.66
7,23,0.21
7,24,0
7,25,0
7,26,0.03
7,27,T
7,28,0
7,29,0
7,30,0
7,31,0
8,1,0.92
8,2,T
8,3,0.88
8,4,T
8,5,0
8,6,0
8,7,T
8,8,0
8,9,0
8,10,0.03
8,11,0
8,12,0
8,13,T
8,14,0
8,15,0
8,16,0.17
8,17,0.02
8,18,0
8,19,0
8,20,0.03
8,21,0.03
8,22,0.02
8,23,0
8,24,0
8,25,0
8,26,T
8,27,0.01
8,28,0.36
8,29,0.07
8,30,0
8,31,0
9,1,0
9,2,0.25
9,3,0
9,4,T
9,5,T
9,6,T
9,7,0
9,8,T
9,9,0
9,10,0
9,11,0
9,12,0
9,13,T
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0.07
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
9,25,0
9,26,0
9,27,0
9,28,0
9,29,0
9,30,0
10,1,0
10,2,0
10,3,T
10,4,0.03
10,5,0.01
10,6,0.3
10,7,0.43
10,8,0
10,9,0
10,10,0.78
10,11,0.79
10,12,T
10,13,0
10,14,4.19
10,15,0.2
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
10,21,0
10,22,0.37
10,23,0.73
10,24,0.87
10,25,0
10,26,0
10,27,T
10,28,T
10,29,0
10,30,0
10,31,0
11,1,0.23
11,2,0.02
11,3,0
11,4,0.48
11,5,0.02
11,6,0
11,7,0
11,8,0
11,9,0
11,10,T
11,11,0
11,12,0.13
11,13,0
11,14,0
11,15,0.17
11,16,0
11,17,0.14
11,18,0.54
11,19,0
11,20,0
11,21,0.02
11,22,0
11,23,0
11,24,0
11,25,0
11,26,0
11,27,0
11,28,0
11,29,0
11,30,0
12,1,0
12,2,0
12,3,0
12,4,0.16
12,5,0
12,6,0
12,7,T
12,8,T
12,9,0.03
12,10,0
12,11,0.08
12,12,T
12,13,T
12,14,T
12,15,T
12,16,0
12,17,0
12,18,0.01
12,19,0
12,20,0
12,21,0
12,22,T
12,23,0
12,24,0.18
12,25,0.01
12,26,0
12,27,0
12,28,0.03
12,29,0.08
12,30,T
12,31,0
